,User_name,Review,Rating1,Rating,Title
11,Ankit,"Update after 1 month of use.There is crackling sound in the background that comes during calls games music anything randomly. During calls, once the crackling starts, it continues. It is known issue with the buds, and you need to reset the device to get it back, and then again the crackling starts in 3-10 hours.Orignal review was for 3 stars as below:Pros:+ Premium packaging+ Quick pairing with OP phone+ Stylish+ (Hopefully) good battery+ USB C interface - no need for me to carry another charging cable+ Enviromental noise cancellation+ Quality of micCons:- Very very poor sound quality. A 399/- pair of wired earphones have better sound quality.- The red cable provided is a sham. It is not warp or dash charging enabled. Also, it is too short! The cost cutting in this department at 2k is not justified- Clumsy, the rubber and buttons are plain clumsy. They never sit properly, even curl some neck clumsily. On dropping the bus down, they hardly ever get magnetically closed.- No carrying pouch. The money that's wasted in the packaging which I'll never use again might have better utilised in provinding a proper pouch for the clumsy earphone- HD quality codecs like APTx etc are simply not available for this piece...All in all this product is a sham, stay away. May be at 999/- it would be a good buy!Update after 9-10 months of use:The right bud was less loud than left, but I ignored because it was minor difference. 9 months later, now right bud sounds is very less than the left one. Contacting service centre to claim warranty. Will update the experience.",1.0 out of 5 stars,1,Stay Away
12,Arun Veer,"It's mentioned in the features that bass edition have quick switch option, but their is no quick Switch Button. Don't know why they have mentioned it in the features. I guess they have just copy paste features from their older edition to bass edition.",1.0 out of 5 stars,1,No Quick Switch Button
13,satya,"So coming from a quality wired earphones to this neck band (RIP headphone jack) this wireless band cant bridge that gap.PROS-Awesome battery life,Great quick switch functionality (not available in BASE EDITION, great job one plus marketing team),Quality phone calls (get it immediately of u spend long time in meetings or calls) WFH Fever,Type C and fast charge (minor but still its there)CONS--Music will become less enjoyable so buyer beware,BASE EDITION-Music does feel good but one plus cleverly REMOVED the QUICK SWITCH and even positioned the MICROPHONE on the neck band directly while in NORMAL EDITION it used to be on the control island thingy with volume.Any physical changes must be highlighted. Guess one plus no longer enthusiast brand.Even the band to ear bud wire length is different.. had difficulty in position with my shirt collar. BASE EDITION legth is not enought. Stupid company. Had to return Bass Edition due to removal of quick switch and reduced ear cord length.",1.0 out of 5 stars,1,Great for calls and laptop to phone switch is very easy if u need it.
14,Prajwal G,After viewing too many reviews on youtube I think that op bullets wireless Z will have very little bass that's why I ordered the bass edition but after trying the bass edition I found very heavy bass in this version. but as I Iove flat sound signature I feel the bass is over boosted and I am getting headaches after using it for a long time. So I decided to replace the bass edition with a regular one. People who love heavy bass can definitely go with bass edition. I love rich vocals and instruments with proper balance bass so this bass version definitely not for me. Hope the people who are confused between regular vs bass edition will get an idea from my review.,5.0 out of 5 stars,5,Not for me (too much bass)
15,Uddipan,"quick feature doesn't work and even pairing with a new device distorts connectivity in a strange manner. May be i use iphone that’s why there’s a problem in Bluetooth codec. you need to reset the device everytime to solve this issue. very pathetic engineering from oneplus. work around is - never use quick pair feature. after using it with one device you just turn off the headphn, turn off bluetooth on that device, and then connect another deviceUpdate: i have exchanged my headphones and this one has the same issue. The problem is persisting even using it with one device, the cracking sound comes up after a while. So i think I should go for the normal edition",1.0 out of 5 stars,1,Do not buy if you are an iPhone user
16,Vishal,"**Important** read till the end.I am not gonna write the pros and cons of the product, everybody else covered most of them. But the most important aspect that I noticed is not covered on any website and YouTube.These earphones support v5 Bluetooth which is decent but the problem is that if you connect them with phone Bluetooth version lower than v5 than you will gonna face some issues.I have a 2-year-old Honor device which has v4.1 Bluetooth, when I listen on this device the earphones produce a low cracking sound constantly (which can't be ignored). Firstly I thought that I got a defective product, but when I tested them on other latest smartphones the problem is not there. I contacted OnePlus regarding this issue and they cleared my doubt.So, if you facing the same issue plz check the earphones on other devices too. Don't just waste your time to replace the product.OnePlus also replaces the product in the warranty period, so don't rush to get it replaced by Amazon.",5.0 out of 5 stars,5,Best purchase but read the review
17,Sudarshan chakraborty,"                    The media could not be loaded.                 I have purchased oneplus z ear phone on June 2020.currently the product is about to dead and while I try to connect one plus service center, they refused to provide any service.One plus is providing zero after sell servicePlease don't buy.Amazon should look after this",1.0 out of 5 stars,1,"Please don't buy, one plus is fraud"
18,SUDHEER YARLAPATI,"if you are looking for best wireless earphones @2K, just go for it.(OnePlus Bullets Wireless Z Bass Edition (Reverb Red)) 👍Even though it is a Bass Edition, Bass is not too high but pretty much enough. 👍Sound quality  & volume is impressive. 👍Didn't found much ""Noise cancellation"", still not bad.(If your mobile bluetooth version is 4, then you might get voice disturbance & voice break since this device is having bluetooth version 5)✌Fast Connectivity.👍No Quick switch in this version(Bass Edition) 👎Comfortable 👍Battery 💪 As they mentioned, we can charge for 10 mins & can be used for 10hrs. If you charge for 1hr, you can use upto 17hrs. 💪👍much recommended product @2K 😍And, please don't compare this product with realme buds wireless. I found ""one plus Bwz bass edition > Realme Buds wireless""",5.0 out of 5 stars,5,Go for it if :
19,Adil Khan,"Connectivity is not good enough. Battery backup is just okay. Misleading customers saying that it has quick switch features, which can only be used by oneplus phones and not by other brand phones and laptops. My 500rs boat earphones have more bass than this bass edition.",1.0 out of 5 stars,1,Not Worth 1999.
20,Pankaj Vishal Singh,Sound quality awesome but if you want this for taking on call please don't buy as the sound quality on call is worst. You cannot hear what the other person is talking.  Otherwise for only music this is awesome . Also as soon as the magnetic buds stick together  it get disconnect and off so  only the battery is 20 hrs back up and when you again plug to ear the Bluetooth connect to you phone it's very fast .,1.0 out of 5 stars,1,For music awesome but for phone call worst
21,Dora,"The earphones themselves are very well built and sturdy with a long lasting battery that charges very fast, however support for my Samsung device seems to shaky, there are scratchy sounds that occur occasionally (much like the slight distortion that comes out of speakers that have been playing at high volumes for too long)Initially I assumed it was a problem with the particular unit and not the product as a whole, but after the same issue persisted in my second pair I called up Amazon customer care and returned it immediately.I do not like the fact that OnePlus would market earphones to all brands that have issued with all other brands except their own.",1.0 out of 5 stars,1,Not great support for non OnePlus devices
22,Gopal Singh Rana,"Just received my product from OnePlus brand..........first of all the build quality is super duper solid, i mean literally OnePlus did a great job on this product. The sound quality is also very superb though i have purchased bass edition but i can fell that the bass quality lies between 4-5 on the scale of 5. The connection between different devices is also again very superb, it gets connected in milliseconds. The comfortability is very good, i feel no pain during heavy music sessions. It supports fast charging so you can charge it with your fast charger. It am using my laptop to charge this device but you can buy any fast charger you like but remember, only buy branded ones not cheap like quality chargers which are available at cheaper rate. I would recommend samsung 15 or 30 watt fast charger or you can also go for OnePlus official charger.Verdict: The overall quality of this product is very good at this price range, i would definately give you green light to go and buy this product (especially bass edition). It is great product under 2k.",5.0 out of 5 stars,5,Best Wireless Neckband Earphones from OnePlus Brand
23,Devansh,"Here is my review after 30 days usage of OnePlus Bullets Wireless Z BASS EDITION. Spend some minutes to know every truth of these neckband earphones.1. DESIGN and BUILD QUALITY: Completely made of premium looking plastic. Earbuds are made with glossy shiny plastic and due to usage of plastic you are very far away from the danger of getting accidental shock in case of defective electronics. Neckband is very smooth and overall the complete earphones are very light in weight. Earbuds fit in the ear perfectly. You can have a closer look at every part of these neckband earphones in the pics I have uploaded.2. BATTERY BACKUP: I was slightly disappointed here. The mentioned music playtime on the box was 17 hours at normal volume usage. I noted the time when I used them and found real life music play time. I got a total of 14 hours and 41 minutes of music play time at LOW VOLUME which is very less when you are using them at very low volume.But you can listen to music for about 12 hours at 70 - 80% volume. The battery went down from 100 to 50% in 7 hours 25 minutes. The battery gets fully charged in less than 50 minutes with my 18 watt fast charger. The best thing is the battery gets about 70%  charged in just 10 minutes ! If you use earphones about two hours daily then you need to charge them only on Sundays.3. SOUND QUALITY: No words for the sound quality! Just amazing! Its name BASS EDITION fully justifies. Highs,mids and lows of the music are very clear. Vocals are also crisp and clear. Bass is too good and balanced one. No connectivity issues while I walked in my whole house listening to music and the phone was in one corner of a room !  👉👉OnePlus have done cost cutting also. The wire length should be 3 to 4 cm more.  IS IT VALUE FOR MONEY? 💰💰 : Of course, I can say yes, it is value for money headphones. You will like them definitely.  ✅👉👉Agar Bhai ya Behen aap Indian ho toh bahut jyada bass ke chakkar mei or 400-500 rupees bachane ke chakkar mei Boat rockers taraf mat jana. Aapka sar dard karne lag jayega unko sunkar because the bass is too high and unbalanced and the human voice ( voice of singer) is very much suppressed due to bass. And Boult walo ne bass ke naam par majak kiya hua hai. I am saying this coz I have used almost 10 to 15 latest neckband earphones of my friends and my own. Realme Buds Wireless Pro are also very nice neckband headphones but remember they cost 4000 rupees.  🔥🔥But inke jaisi sound quality or high+balanced bass apko kahi nahi milega wo bhi 2000 rupees dekar !!  I hesitated for 1 month to buy these earphones but I am very glad after buying these earphones at last. So I suggest you  not to hesitate and go for it if your budget is 2000 rupees. Don't look for any other neckband earphones in this price range. If you will try to save some rupees then you are prone to fall for a low quality sound experience.",5.0 out of 5 stars,5,Review after 1 month of continuous use👇
24,Rajiv P Rai,"Bought this for Mom who is into wired earphones but gets irritated by the tangling wires.The sound is not at the level of Bose, Airpods or Sony, but if you have to choose between boat, leaf, tagg and other VFM brands, then these wireless earphones are overkill for the price.Used these for Zoom Calls on my laptop as well and there were hardly any drops.Microphone worked flawlessly and sound was also clear.Bass is 4/5 but ears start paining after 2 hours of continuous usage, so one has to keep that in mind!Overall Verdict: The best VFM in the sub-3k price range for wireless earphones.Bass: 4/5Comfort: 4/5Treble: 3.5/5Battery: 5/5Connectivity: 4.5/5",4.0 out of 5 stars,4,The Perfect VFM buy in entry level wireless headphones
25,Roshan hp,After seeing all the good reviews i purchased this.Built quality: 4.5/5 for first look this can be changed after long use.Sound quality: no woww factor in listening any high bass movies or instrumental songs.Battery : it takes 1 hour 20 mins to charge full to give u 17hrs of usage time. Red light turn to white to indicate full charge. 10 min charge to 10hours is just a gimik.Mic: better than previous version nothing like crystal clear.Confirt: holds good and light.,3.0 out of 5 stars,3,"Average bullet , no woww factor after using for a day"
26,Amazing Customer,"Cons:Few features that are not openly mentioned. Normal Z version has a quick switch button but the Z Bass does not have this button. Auto pause is enabled when the ear pieces are joined together magnetically (off) however auto play is not enabled when they are separated (on). Right and left earpiece is not mentioned. So you have to try on your own for best fit. Though few forums suggest the right side has volume controls. These cons make you doubt the marketing intention of OnePlus.Pros:Good build, fast charging, light weight, wires are good, soft and flexible on skin, overall good sound quality, looks good, etc. Gives a feeling that you got good product giving device/product.Overall - go for it (but choose wisely between Z and Z Bass edition)",4.0 out of 5 stars,4,This is different from normal Z and Z Bass
27,Arjun,"Honest review after using 3 days very much Satisfied finally ""NEVER SETTLE""1) build quality 5/52) battery backup:-16hrs max but still very happy 4.5/53)sound clarity 5/54) fast charging wrap 5/5but note that minimum 18w adapter is required if you have 30w then charge 10 min enjoy for 10 hrs upto5 )mic quality is not good but okay4/56) noise cancellation hmm 3/57) Connectivity 5/58) watching movies audio and video sync is perfect there is no delay 5/59) for gaming we can notice very slight difference but ignorable 4.7/510) bass quality 4/5 not much improvedOver all rating 4.7/5NEVER SETTLEOverall best when compared to others at this price very much Satisfied",4.0 out of 5 stars,4,Music quality is excellent never expected high quality at this price
28,Sachin S.,"Oneplus has become a big brand, and the earphones that I received feels great in hand, and the sound quality was good too. Biggest issue is connecting and disconnecting with my Oneplus phone. First time pairing took a lot of time, then everytime it should auto connect it was not connecting automatically. I had to manually connect in BT option. After 2 days of purchase it stopped pairing itself. Returning it now, I was hoping with the brand value there is thorough QC that would have happened, but seems not.",1.0 out of 5 stars,1,Quality is not at par
29,Tarun Soni,"Review from an audio enthusiast, Used Sennheisers, AKG's, Audio Technica's for long time._______________________Purchased the bass Edition.Really great pair of earphones you can buy under 2K right now. (Bass Edition only)They really have improved the sound from their last generation earphones.Bass has really improved quality wise it's improved, loudness remains the same (Great response from 25HZ - 35HZ)Mids and treble has also improved, less muddy mids now, more crisp and sharp (in a good way) trebles now.You can hear other instruments too.. so its balanced not just boommyyy or anything with the bass.Use Equalizer and turn up the low frequencies up, you will be amazed by the bass response.Go ahead buy the bass edition only, you wont get any good under 2K.Cheers!!",5.0 out of 5 stars,5,"Awesome, Better then normal Ones"
30,Saumya,"The product was delivered the same day I purchased (Yaay! Amazon prime). But the earphone failed to impress me due to low vol in its right ear. I usually listen music at 60-80% volumes. So as soon I listened through these earphone I could tell there is some mismatch between volumes in the ears. So I listened again at low volume (30%) but could not hear anything from Right but the Left worked fine. I have opted for a replacement due to the right ear issue, although I wanted to return it but no option for it. Will update whether the problem still exists in the replaced earphone I get or not.Update: Received the replaced earphones, they still have the issue. I'm keeping it because of no return policy. However, the sound quality is good but bass is low, but okay.",2.0 out of 5 stars,2,Don't forget to check if both the ears produce same sound quality
31,Vineet D.,"The device stopped working with in 40 days of buying. (Well this is normal , could happen to any chinese electronic device )Problem is the customer care passed on in complete information. They did not convey the message that each service center is accepting 40 request only every day. And there is no home pick up of faulty devices.I saw about 100 people standing a queue in TDI mall Rajouri and they had to go back home because they could not get the tocken.I would say poor experience in dealing with service and customer care.",1.0 out of 5 stars,1,Customer service
32,Adi,"I bought these as i was previously a Bullet Wireless use and had two sets bought over period of time. I fell so much in love with the produc that we shipped to all our Team members as gift during lockdown. Going by the same impression i bought Bass edition as it had all the same features listed on its official website. It's only after receiving the product i realized that OnePlus went the Chinese way and did false advertising. It does not have Quick switch feature and u can simply disconnect from current device and then connect to second device. The experience does not change even if you are using OnePlus phone as they claim. Disheartened by the deceptive advertising. Horrible experience and now it's time to say GOODBYE TO OnePlus as a Brand. No wonder all YouTubers who used to go gaga over OnePlus have been bashing recently. Dave 2D,MKBHD, Unbox Therapy, MrWhosthe boss.",1.0 out of 5 stars,1,Cheated by Oneplus - NO QUICK SWITCH - GOING THE CHINESE WAY
33,kaushik,"First of all thanks to amazon for faster delivery❤❤Oneplus z wireless earphone Reverb red❤After using 5th day without charging.(previously 80%)😊My experience: Awesome sound, perfect bass, no latency, premium feel & good battery backup(now 40%)😊Gaming experience: PUBG, COD, AMONG US, FREEFIRE & etc. Perfectly balanced & footsteps sound also without latency. 😊😊Music: 😍😍 just love itBut about noise cancellation i deduct one star😒👎. But Oneplus did a good job after Normal edition.Bit costly Rs. 1999/- 🤐",5.0 out of 5 stars,5,Just Go for it..👍✌
34,Rahul Munkhiya,"See as this product is Chinese, it maintains their's legacy. After using this product from 3 to 4 months, I suffered from headache, dizziness and a little blindness, I was confused at start what the hell is getting wrong with my eye sight.Later I noticed past actions and change.I believe uncontrollable radio frequences is the issue of this product, which causes damage to the brain and nervous system. So after quiting this product, I'm feeling very well and using the old style wired hansfree. I'm sharing this to aware you, rest is your choice and health and money.Thanks",1.0 out of 5 stars,1,Product is good but not for your health
35,Jayant,"Purchasd on 7 November 2020, the product is malfunctioning big time. Sound coming too low, left side went first now right side. I had purchased one more of this bass edition from other site and it has similar problems.My re 500/- JBL earphones lasted for 2  years and had better quality audio, bass than this so called bass edition. I only purchased this cuz of brand and wireless capabilities and it turned out like this. Poor quality produc!",1.0 out of 5 stars,1,One plus Bug edition!
36,Rahil,"Overall it's good but the shiny protion has too many scratchs.Talking about the sound quality it's good. For a heavy bass user it seems to be balanced bass but for me it has bass more than enough, if more bass boosted then the background instrumental music will be depressed. It's vocals sounds clear and Avg crisp, but the feeling from inside remain inside only at medium volume. From my experience I noticed that increasing the volume increases the bass and crispness.Overall it's best budget neckband in 2000. I have tested realme wirless in which driver mm are only and only number the bass the treble are less than avg. 1+ offers a very very good battery life. The last conclusion is that ""Invest of 2000 for damaging your own ears is not a better deal""",5.0 out of 5 stars,5,Sound and looks.
37,Keshav,A very poor product. Just after a month stopped working on one side with no physical damage. Service people say that this is a very common issue along with mic not working properly. Selling poor product for a premium price is just unacceptable.,1.0 out of 5 stars,1,Faulty product with lots of issues
38,Reuben Robert,"It lasted for a month, yeah you read that right.One night as music was playing the music stopped coming to the left side. Pretty sure it's a loose connection, but still ! 2k for this is worth it if you consider what you get.Sound quality, passive noise cancellation, low bass.All the above are top notch. The build quality is top too. Materials used are fairly high quality.I guess I got a defective product. Will have to go to the store to see if they would replace. If they do, I'll let you know.If they don't replace, i don't think I would recommend it. Sennheiser provides replacement for their earphones which have loose connection.TBH this is the last time I'm buying any headphones or earphones with wires on it.",2.0 out of 5 stars,2,Lasted for a month
39,Sridhar,I did a lot of research before deciding to buy this. I was initially keen on buying a TWS but none of them were giving great quality of sound vs cost paid ratio. And I also learnt that within a year most budget tws stop working one stem. So I decided to go with this.Now I consider myself a basshead. I like punchy bass. Kinda like boat earphones when they launched. After that they became too bass heavy. This is not that. This has the right amount of bass. It's not exactly punchy but it's almost as good as it. And this sounds signature is almost impossible to find. I have listened to a lot of wired and tws earphones and nothing comes close to this. Only sony basshead surpass this but it's 4 times the price.The vocals and mids are well represented and you get an overall great music experience.I have a one plus phone so I have had no issues in gaming with these. There was a very slight delay in the normal mode but in fnatic mode the syncis perfect. I did notice a couple of sound outages when the game starts but 1700 me taj mahal khareednahai kya?Overall it's a really great but for this price range. Go for it.,5.0 out of 5 stars,5,Near perfection for under 2k
40,LOTUS,"Sound is awesome , specifically the bass .I was a fan of realme ,used that almost 7 months . But after using this ,I must say this is better than realme in sound . Needless to say I am a bass lover. I am using oneplus 6T so maybe that is also a factor.CONS : -1. Noise cancellation should be little bit better.2. If you are listening music and suddenly you watch a video in YouTube then after end of the YouTube video you have to manually play the song. In realme it automatically play the song .Pro :-1. Bass2. Latency is way better (Almost zero) than other  earphones under Rs 2000. ( I almost tried all)3. Battery capacity : Nonstop music ,video  ....around 18 hours .4. Charging Capacity : Charged for exactly 10 mins.  Jumps from 20% to 90%Thank you Amazon for oneday delivery.",5.0 out of 5 stars,5,Oneplus Bass edition is awesome.
41,At,"Sturdy build quality, sound is clear but even though this is marketed as bass version, I cant feel much of bass. If the bass version is so light on bass, I wonder how the earlier models used to perform. But other wise this is good piece.Moreover the bluetooth toggle button is not present in this model (my oversight while buying) which is not a good step. As ability to toggle between devices with press of a button is really very good feature. I would have paid some extra buck for that, but sadly thats not present",3.0 out of 5 stars,3,"Above average product, not for bass lover even though this is claimed to be bass version"
42,Sachin Kharat,"Had a great expectations from this 1+ so called bass edition earphones. But got very disappointed with the quality of sound it produces.Great connectivityGreat mic qualityGreat ear comfortGreat built qualityVery poorest sound quality, which is main purpose of any earphones.Had checked reviews of this on various platforms like YT & other ecom websites, there were so many positive reviews. Now I am strongly feeling it those all were seems paid reviews.If I wanted this kind of worst bass, then I could have went for Ptron. I am not de-grading Ptron, because they are offering products at less pricing & can't expect much from them.But if 1+ is taking 2k for their so called bass edition earphones, but they are not providing that much good quality bass. By just adding dhoom dhoom bass they have simply hampered the sound quality.Many time I love to hear songs at close to full volume & listening those in 1+ are so irritating. I have to try & keep changing equaliser settings for every single song in my F62 phone.My Sennheiser CX180 at far far far giving great sound quality.So my honest opinion strongly not recommended for those who actually looking good quality sound output.Those who just looking for just dhoom dhoom sound, please don't waist your 2k for 1+. Go for Ptron instead, at least you'll save your min 1k rupees.",1.0 out of 5 stars,1,Honest Review- Simply Disappointed with 1+
43,gourish,"Pls avoid One Plus.The right side earphone stopped working exactly after two months. The service centre was kind enough to arrange for a pick and drop.That was the only good part. It's been almost 2 weeks, I get contrasting updates from the call centre.1st updateThe repairs are yet to be assigned to a service engineer2nd updateThis will be prioritised and someone from the service centre will call. It's been one week, I have not received any call.3rd UpdateGot to know from the call centre executive that the service centre is closed due to pandemic.  If this is true, basic courtesy says that I should be informed about this.Please avoid One Plus products. All hype nothing else",1.0 out of 5 stars,1,One side earphone not working
44,Shashank K,Pros:* Loght weight* Battery life* Noise Cancellation* Ease of switching between devices (Need to press pause / resume button for 3-4 seconds. It disconnectes and you will need to manually add it to alternative device)* Quick chargeCons:* Lack to dedicated sound control button near left ear. (This made control easier - this was included in the original OnePlus Bullets Wireless). But that is 2K costlier than OnePlus Bullets Wireless Z Bass Edition. So thats okay.* Wire width is little less.,4.0 out of 5 stars,4,Good product. Detailed review below.
45,Vishnu Rajeev,"This review might be long, but it's honest. These are one of the best in ear wireless earphones for the price, out in the market right now. I purchased this for my brother, and later, I got the same earphones for my birthday. I also use a Sony WI-C400 (priced around Rs.3500) and Apple Airpods Pro, and I will be comparing the bullets wireless Z bass edition with these two.Pros:1) This one charges very quickly, especially if you have a OnePlus Warp charger adapter. I use a OnePlus 8 and these earphones charges to a 100% in around 40 mins. The Sony on the other hand takes around 3 hours to get to full charge.2) It pairs instantly. As soon as you separate both the earpieces, it pairs with the phone in under 4 seconds. It is similar to what happens with an iPhone and Airpods/Airpods Pro. To pause the music or video, you just have to clip them both together, which also turns off the earphones, thus saving battery.3) Very lightweight and comfortable. The earphones weigh just 28 grams, and while wearing them, I don't actually feel it. It also looks good when one wears it. The Sony earphones were heavy and sometimes uncomfortable.4) The sound quality is very good. It is actually better than the Sony in terms of clarity and loudness. I rarely have to raise the volume to 50%. The bass is decent; I wouldn't say it's great, even with the bass edition. But considering the price, the bass is pretty good.5) IP55 water resistance means that I can use these earphones while working out or when I go out cycling.Cons:-1) It has a noticeable amount of latency. Even though OnePlus advertises low latency of 100ms, you can actually feel the latency while watching videos or listening to music. The Sony WI-C400 is way better in terms of latency; it's almost non existent.2) While playing games and listening to music at the same time, the music seems to break every now and then. This did not happen with the Sony WI-C400, and this irritates me every time.Final verdict: If your budget is around 2000-2500, then don't look for anything more, buy the OnePlus Bullets Wireless Z Bass Edition. If you are willing to spend more, then I would suggest you go for Sony. I have been a long time Sony user, and all Sony earphones I have used has lasted at least 3 years for me. Sony earphones are made in Vietnam, while OnePlus Bullets Wireless Z Bass Edition is made in China. For me, only time will tell how durable this earphone is, but I'll surely be updating this review is anything goes wrong.",4.0 out of 5 stars,4,"Definitely worth the money, but not the best"
46,Ɲ Ꝃ,It's light weight..Fits well in Ear better it sits better is the sound quality.Call quality is good even for longer durationLiked the feature of auto power on connect when buds are separated and off when joined.10 min of rapid charge gives 10 hours thats almost shows 80% of charge and to 💯% takes around 30 to 45 minutes.Could manage a around 11 -13 hours on every charge with mixed usage.Cons.Does not have MUTE buttonDoes not vibrate while recieving calls should be dependent on phone..One less 🌟 for no mute button..,4.0 out of 5 stars,4,Good for the Bucks..
47,Prathamesh Tharwal,"One of the best you will get in this price tag ... From design, sound and latency all things are working great .. the sound signature is very similar to sonyXb. Just one thing they have not provided that they kept charging slot open,there is no cap protection.. always keep your mic clean and dry from sweat or any other liquid thing their mic is no that much capable.Design: 3/5Bass:4.5/5Battery life:5/5Vocals:4/5Latency:5/5",4.0 out of 5 stars,4,One of the best wireless neckband under 2k
